Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B00850,UPTOWN TRANSIT CORP,,2020,9,September,188,0,3
B03028,CASTILLO CAR & LIMO INC,,2021,3,March,722,0,3
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2020,2,February,"7,009",0,34
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2019,3,March,433,0,12
B02285,"VALERA GLOBAL, INC.",,2016,11,November,"4,059",0,92
B02784,SMILE TRANSPORTATION GROUP INC,,2019,9,September,"7,683",0,39
B02522,CHAUFFEURED EXECUTIVE TRANSPORTATION LLC,,2020,2,February,433,0,12
B00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2019,11,November,"5,414",0,33
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2016,4,April,"1,088",0,7
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,2016,2,February,"24,109",0,357
B01009,UNITED LIMO C/M SVC CORP,,2021,5,May,649,0,8
B01700,LINDEN EXPRESS CAR SERVICES INC.,,2020,9,September,360,0,4
B01741,MONACO LIMO & CAR SERVICES INC.,,2017,4,April,731,0,36
b00833,OMEGA CAR SERVICE INC.,,2018,4,April,988,0,5
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2017,3,March,"4,761",0,16
B03200,L & J LOGISTICS CORP.,,2021,10,October,217,0,3
B02709,DASH CAR SERVICE CORP,,2017,11,November,"1,049",478,3
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2020,12,December,75,0,3
B02724,"CORE CAR, INC",,2019,11,November,472,0,24
B01601,YOURS CAR SERVICE INC,,2017,12,December,"5,110",0,17
B02106,"PERFECT LIMO SERVICE, INC.",,2019,2,February,8,0,5
B01989,"ICS-NY, INC.",,2017,6,June,485,0,25
B02980,ADVANTAGE LIMO OF NY INC,,2018,3,March,59,0,5
B02996,FOREVER BLUE CAR SERVICE INC.,,2019,8,August,"1,561",0,23
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2016,10,October,"4,790",0,19
B00095,LIBERTY CAR SERVICE INC.,,2019,8,August,"2,342",0,13
B01318,LOWER EAST SIDE C/S CORP,,2015,10,October,"17,459",0,70
B02546,X RADIO DISPATCHER INC.,,2017,5,May,"27,140",0,166
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2018,8,August,733,0,23
B01957,"ANIMO, INC",CHRIS LIMOUSINE U.S.A.,2015,10,October,106,0,4
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2021,8,August,86,0,4
B02160,"12TH STREET LUXURY CARS, INC.",,2017,10,October,97,0,22
B02167,MADISON LIMOUSINE INC,,2019,8,August,42,0,5
B01233,NEW LACONIA RAD DISP INC,,2017,1,January,"23,879",0,89
B03164,KISS LUXURY TRANSPORTATION INC.,,2020,9,September,"2,854",0,19
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2018,5,May,"2,906",0,74
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2016,6,June,"48,364",0,200
B02311,FAST CITY CAR & LIMO SVC INC.,,2016,8,August,133,0,14
B02962,"HEALTH BLACK CAR SERVICES, CORP",ADON,2020,4,April,331,0,7
B01957,"ANIMO, INC",CHRIS LIMOUSINE U.S.A.,2020,1,January,18,0,1
B01811,IVOIRE LIMO INC.,,2016,9,September,878,0,31
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2015,2,February,"12,530",0,72
B03030,Q-FIRST LIMOUSINE CORP.,,2021,1,January,18,0,3
B02379,THE OPTION TRANSPORTATION CORP.,,2019,1,January,"2,325",0,50
B01197,"TEL-A-CAR OF NEW YORK, LLC",,2018,11,November,"2,709",0,61
B00369,BOULEVARD OPERATING INC.,,2016,4,April,222,0,16
B00350,CHAMPION CAR & LIMO SVC. INC.,,2020,7,July,"2,296",0,19
B00919,HARLEM CARS INC.,,2019,2,February,"4,757",0,33
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2021,3,March,"2,247",0,14
B02975,LI YANG LIMOUSINE INC,,2017,8,August,"2,008",0,21
B00225,DELANCEY TRANSPORTATION INC.,,2016,10,October,"15,801",0,88
B03113,MIKE'S VIP TRANSPORTATION INC.,,2018,12,December,781,0,6
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,2018,9,September,10,0,1
B02021,EASYRIDE CAR SERVICE INC.,,2017,3,March,"1,529",0,5
B00837,CAREY LIMO N Y INC,,2017,7,July,"7,122",0,204
B02832,NYC FLY WHEELS INC.,,2018,2,February,201,0,8
B02759,"LAPUMA TRANSPORTATION GROUP,LLC",LAPUMA,2016,5,May,178,0,21
B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,2016,4,April,689,0,2
B00941,PERSONAL TOUCH C/S,,2018,2,February,489,0,15
B00272,BIG APPLE CAR INC,,2016,12,December,"5,200",0,150
B00056,TRANSIT PRIVATE CAR SERVICE INC.,,2017,8,August,"1,799",0,41
B02924,CELEBRITY LUXURY INC.,,2019,11,November,63,0,31
B03008,CROWN CAR & LIMO SERVICE INC.,,2018,10,October,101,0,6
B02811,M.L TRIPS CORP.,,2019,8,August,"1,297",0,27
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,,2021,10,October,881,0,9
B00037,TRANSP UNLIMITED C/S,,2018,2,February,"8,735",0,47
B02550,AGAPE LUXURY CORP.,,2020,4,April,"21,686",0,348
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2020,7,July,122,0,7
B01467,NEW EXPERIENCE #1 INC,,2015,5,May,"23,952",0,105
B00290,ZPI CORPORATION,NATIONAL HIGH CLASS,2020,3,March,312,0,4
B00536,"WINTHROP HOLDING OF NEW YORK, INC",,2018,3,March,"5,257",0,20
B00381,BELL RADIO INC,,2015,5,May,"8,398",0,143
B02107,APOLLO RADIO DISPATCH INC.,,2018,2,February,"7,865",0,57
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2017,8,August,"1,810",0,7
B02630,LEVEL LIMO INC,,2015,6,June,16,0,3
B02599,CMS LIMO INC.,,2020,2,February,354,0,11
B01215,ECUADOOR CORP,,2019,10,October,"4,522",0,21
B01308,LIL'D DISPATCH INC.,STRICTLY CAR SERVICE,2021,4,April,"3,233",0,17
B03030,Q-FIRST LIMOUSINE CORP.,,2019,6,June,155,0,11
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2019,7,July,742,0,6
B01236,BLS LIMO SVC OF NY INC,,2018,11,November,"2,642",0,93
B02826,NEW BELL LUXURY CORP,,2017,5,May,"2,882",0,47
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2018,4,April,"13,182",0,105
